IPR015895	Glutamyl-tRNA reductase, N-terminal  Molecular Function	interpro	domain		PF05201	GO:0008883,GO:0050661,GO:0033014
IPR015896	Tetrapyrrole biosynthesis, glutamyl-tRNA reductase, dimerisation domain  Molecular Function	interpro	domain		PF00745	GO:0008883,GO:0050661,GO:0033014
IPR015944	Glycine-tRNA ligase, beta subunit  Molecular Function	interpro	family		MF_00255,TIGR00211,PF02092,PR01045	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR015965	tRNA ligase, phosphodiesterase  Molecular Function	interpro	domain		PF08302	GO:0003972,GO:0005524,GO:0006388
IPR015966	tRNA ligase, kinase domain, fungi  Molecular Function	interpro	domain		PF08303	GO:0003972,GO:0005524,GO:0006388
IPR016061	Proline-tRNA ligase, class II, C-terminal  Molecular Function	interpro	domain		SM00946,PF09180	GO:0000166,GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR016075	RNA polymerase, phosphoprotein P, C-terminal XD, paramyxovirinae  Molecular Function	interpro	homologous_superfamily		SSF101089	GO:0003723,GO:0003968,GO:0006351,GO:0019079
IPR016268	RNA-directed RNA polymerase, hantavirus  Molecular Function	interpro	family		PIRSF000825	GO:0003968,GO:0019079
IPR016269	RNA-directed RNA polymerase, paramyxovirus  Molecular Function	interpro	family		PIRSF000830	GO:0016740,GO:0006139
IPR016371	RNA polymerase sigma-H factor  Molecular Function	interpro	family		PIRSF002939	GO:0003677,GO:0016987,GO:0006351
IPR016424	Cytochrome B pre-mRNA-processing protein 2  Molecular Function	interpro	family		PIRSF004611	GO:0003723,GO:0000372,GO:0005739
IPR016438	ATP-dependent RNA helicase SKI2-like  Molecular Function	interpro	family		PIRSF005198	GO:0003723,GO:0003724,GO:0006401
IPR016479	tRNA/rRNA methyltransferase, YfiF, predicted  Molecular Function	interpro	family		PIRSF006280	GO:0008168
IPR016530	Mediator of RNA polymerase II transcription subunit 22, Saccharomycetes  Molecular Function	interpro	family		PIRSF007936	GO:0003712,GO:0006357,GO:0016592
IPR016532	Mediator of RNA polymerase II transcription subunit 20  Molecular Function	interpro	family		PIRSF007945	GO:0003712,GO:0006357,GO:0016592
IPR016589	tRNA-splicing endonuclease, SEN2 subunit  Molecular Function	interpro	family		PIRSF011789	GO:0000213,GO:0006388,GO:0000214
IPR016653	tRNA (guanine(9)-N(1))-methyltransferase TRM10/TRM10A  Molecular Function	interpro	family		PIRSF016323	GO:0008168
IPR016690	tRNA-splicing endonuclease, SEN34 subunit  Molecular Function	interpro	family		PIRSF017250	GO:0000213,GO:0000379,GO:0000214
IPR016691	tRNA guanosine-2'-O-methyltransferase, TRM11  Molecular Function	interpro	family		PS51627	GO:0160102
IPR016718	rRNA (guanine-N1-)-methyltransferase A, predicted  Molecular Function	interpro	family		PIRSF018249	GO:0008168
IPR016730	RNA-binding FAU-1  Molecular Function	interpro	family		MF_01910,PIRSF018644	GO:0003723
IPR016742	tRNA methyltransferase, archaea  Molecular Function	interpro	family		PIRSF018978	GO:0008175,GO:0030488
IPR016819	Ribonuclease P/MRP protein subunit Pop5  Molecular Function	interpro	family		PIRSF023803	GO:0033204,GO:0001682
IPR016848	Ribonuclease P/MRP subunit Rpp29  Molecular Function	interpro	family		PIRSF027081,PTHR13348	GO:0033204,GO:0001682,GO:0006396,GO:0000172,GO:0030677
IPR016899	mRNA cap guanine-N7 methyltransferase, eukaryotes  Molecular Function	interpro	family		PIRSF028762	GO:0004482,GO:0006370
IPR016909	Ribosomal RNA large subunit methyltransferase F  Molecular Function	interpro	family		MF_01848,PIRSF029038	GO:0008988,GO:0006364,GO:0005737
IPR016914	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL  Molecular Function	interpro	family		cd18094,MF_01885,PIRSF029256,PTHR42971	GO:0008168,GO:0001510
IPR017067	Ribonuclease H1, eukaryote  Molecular Function	interpro	family		PIRSF036852	GO:0000287,GO:0004523
IPR017074	mRNA capping enzyme, bifunctional  Molecular Function	interpro	family		PIRSF036958	GO:0004484,GO:0140818,GO:0006370
IPR017075	mRNA capping enzyme, alpha subunit  Molecular Function	interpro	family		PIRSF036959	GO:0004484,GO:0006370,GO:0031533
IPR017137	Arginine-tRNA-protein transferase 1, eukaryotic  Molecular Function	interpro	family		PIRSF037207	GO:0004057,GO:0016598
IPR017170	Lhr-like ATP-dependent RNA helicase, predicted  Molecular Function	interpro	family		PIRSF037307	GO:0005524,GO:0016818
IPR017234	RNA-directed RNA polymerase, rhabdovirus  Molecular Function	interpro	family		PIRSF037546	GO:0016740,GO:0006139
IPR017235	RNA-directed RNA polymerase L, filovirus  Molecular Function	interpro	family		PIRSF037548	GO:0016740,GO:0006139
IPR017237	rRNA (guanine-N2-)-methyltransferase, RlmG  Molecular Function	interpro	family		MF_01859,PIRSF037565	GO:0008990,GO:0031167,GO:0005737
IPR017244	Ribosomal RNA large subunit methyltransferase K/L  Molecular Function	interpro	family		MF_01858,PIRSF037618	GO:0008990,GO:0031167,GO:0005737
IPR017290	Ribonuclease H, Bacteroides-type  Molecular Function	interpro	family		PIRSF037839	GO:0004523
IPR017325	RNA binding protein fox-1 homolog 1-3  Molecular Function	interpro	family		PIRSF037932	GO:0003723,GO:0043484
IPR017449	Prolyl-tRNA synthetase, class II  Molecular Function	interpro	homologous_superfamily		G3DSA:3.30.110.30,SSF64586	GO:0000166,GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR017582	tRNA 2-selenouridine synthase  Molecular Function	interpro	family		PTHR30401,MF_01622,TIGR03167	GO:0043828,GO:0002098
IPR017610	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC, C-terminal  Molecular Function	interpro	domain		TIGR03197	GO:0008168,GO:0016645
IPR017710	Alternate ATP synthase, F1 complex, subunit alpha  Molecular Function	interpro	family		TIGR03324	GO:0046933,GO:0015986,GO:0045261
IPR017770	RNA 3'-terminal phosphate cyclase type 1  Molecular Function	interpro	family		MF_00200,TIGR03399	GO:0003963,GO:0006396
IPR017924	RNA-binding protein YhbY  Molecular Function	interpro	family		TIGR00253	GO:0003723
IPR017958	Glutamyl-tRNA(Gln) amidotransferase, subunit B, conserved site  Molecular Function	interpro	conserved_site		PS01234	GO:0016884
IPR017959	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, subunit B /E  Molecular Function	interpro	family		PTHR11659	GO:0016884
IPR018033	D-aminoacyl-tRNA deacylase, archaea  Molecular Function	interpro	family		MF_00562,PIRSF016210	GO:0016788,GO:0051499,GO:0019478
IPR018149	Lysyl-tRNA synthetase, class II, C-terminal  Molecular Function	interpro	domain		cd00775,PR00982	GO:0000166,GO:0004824,GO:0005524,GO:0006430,GO:0005737
IPR018162	Alanine-tRNA ligase, class IIc, anti-codon-binding domain superfamily  Molecular Function	interpro	homologous_superfamily		SSF101353	GO:0000166,GO:0004813,GO:0005524,GO:0006419,GO:0005737
IPR018163	Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily  Molecular Function	interpro	homologous_superfamily		SSF55186	GO:0000166
IPR018164	Alanyl-tRNA synthetase, class IIc, N-terminal  Molecular Function	interpro	domain		PF01411	GO:0000166,GO:0004813,GO:0005524,GO:0006419
IPR018165	Alanyl-tRNA synthetase, class IIc, core domain  Molecular Function	interpro	domain		PS50860	GO:0003676,GO:0004813,GO:0005524,GO:0006419
IPR018171	Peptidyl-tRNA hydrolase, conserved site  Molecular Function	interpro	conserved_site		PS01196,PS01195	GO:0004045
IPR018188	Ribonuclease T2, His active site 1  Molecular Function	interpro	active_site		PS00530	GO:0003723,GO:0033897
IPR018214	Glutamyl-tRNA reductase, conserved site  Molecular Function	interpro	conserved_site		PS00747	GO:0008883
IPR018517	tRNA-dihydrouridine synthase, conserved site  Molecular Function	interpro	conserved_site		PS01136	GO:0017150,GO:0050660,GO:0008033
IPR018524	DNA/RNA non-specific endonuclease, active site  Molecular Function	interpro	active_site		PS01070	GO:0003676,GO:0016787,GO:0046872
IPR018669	Toxin-antitoxin system, mRNA interferase HigB  Molecular Function	interpro	family		PF09907	GO:0003723,GO:0004519,GO:0090304,GO:0110001
IPR018995	RNA synthesis protein NSP10, coronavirus  Molecular Function	interpro	domain		PS51952,PF09401	GO:0003723,GO:0008270,GO:0019079
IPR018999	RNA helicase UPF1, Cys/His rich zinc-binding domain  Molecular Function	interpro	domain		PS51997,cd21400,PF09416	GO:0003723,GO:0003724,GO:0005524,GO:0008270,GO:0000184,GO:0005737
IPR019012	RNA cap guanine-N2 methyltransferase  Molecular Function	interpro	family		PF09445	GO:0008168,GO:0001510,GO:0036261
IPR019307	RNA-binding protein AU-1/Ribonuclease E/G  Molecular Function	interpro	family		PF10150	GO:0003723
IPR019407	Cytoplasmic tRNA 2-thiolation protein 2  Molecular Function	interpro	family		PTHR20882,MF_03054,PF10288	GO:0000049,GO:0002098,GO:0034227
IPR019446	25S rRNA (uridine-N(3))-methyltransferase BMT5-like  Molecular Function	interpro	domain		PF10354	GO:0070042,GO:0070475
IPR019462	DNA-directed RNA polymerase, beta subunit, external 1 domain  Molecular Function	interpro	domain		PF10385	GO:0003899,GO:0006351
IPR019499	Valyl-tRNA synthetase, tRNA-binding arm  Molecular Function	interpro	domain		PF10458	GO:0000166,GO:0004832,GO:0005524,GO:0006438,GO:0005737
IPR019580	Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding  Molecular Function	interpro	domain		PF10596	GO:0017070
IPR019581	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding  Molecular Function	interpro	domain		PF10597	GO:0030623
IPR019582	RNA recognition motif, spliceosomal PrP8  Molecular Function	interpro	domain		PF10598	GO:0003723
IPR019602	mRNA capping enzyme catalytic subunit, RNA triphosphatase domain, virus  Molecular Function	interpro	domain		PF10640	GO:0004484,GO:0004651
IPR019872	O-phosphoseryl-tRNA(Sec) selenium transferase  Molecular Function	interpro	family		TIGR03531,PTHR12944,PIRSF017689	GO:0098621,GO:0001717
IPR019969	DNA-directed RNA polymerase subunit Rpo2  Molecular Function	interpro	family		TIGR03670	GO:0003677,GO:0003899,GO:0008270,GO:0006351
IPR020024	L-seryl-tRNA(Sec) kinase, archaea  Molecular Function	interpro	family		TIGR03574	GO:0016301,GO:0016773,GO:0001717
IPR020058	Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain  Molecular Function	interpro	domain		PF00749	GO:0004812,GO:0005524,GO:0043039
IPR020059	Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain  Molecular Function	interpro	domain		PF03950	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
IPR020061	Glutamine-tRNA ligase, alpha-bundle domain superfamily  Molecular Function	interpro	homologous_superfamily		G3DSA:1.10.1160.10	GO:0005524
IPR020539	Ribonuclease P, conserved site  Molecular Function	interpro	conserved_site		PS00648	GO:0004526
IPR020596	Ribosomal RNA adenine methylase transferase, conserved site  Molecular Function	interpro	conserved_site		PS01131	GO:0000179,GO:0000154
IPR020598	Ribosomal RNA adenine methylase transferase, N-terminal  Molecular Function	interpro	domain		SM00650	GO:0000179,GO:0000154
IPR020627	RNA-binding protein KhpA  Molecular Function	interpro	family		PTHR34654,cd22533,MF_00088	GO:0003723
IPR020653	Tryptophan-tRNA ligase, archaea  Molecular Function	interpro	family		MF_00140_A	GO:0004830,GO:0005524,GO:0006436,GO:0005737
IPR020708	DNA-directed RNA polymerase, 14-18kDa subunit, conserved site  Molecular Function	interpro	conserved_site		PS01111	GO:0003677,GO:0003899,GO:0006351
IPR020752	Glutamate-tRNA synthetase, class I, anticodon-binding domain, subdomain 1  Molecular Function	interpro	homologous_superfamily		G3DSA:1.10.8.70	GO:0000049
IPR020787	Ribonuclease HII, archaea  Molecular Function	interpro	family		MF_00052_A	GO:0004523,GO:0030145,GO:0006401,GO:0005737
IPR020789	RNA polymerases, subunit N, zinc binding site  Molecular Function	interpro	binding_site		PS01112	GO:0003677,GO:0003899,GO:0008270,GO:0006351
IPR020791	Leucine-tRNA ligase, archaeal  Molecular Function	interpro	family		MF_00049_A	GO:0000166,GO:0004823,GO:0005524,GO:0006429,GO:0005737
IPR020998	Mediator of RNA polymerase II transcription subunit 3  Molecular Function	interpro	family		PF11593	GO:0003712,GO:0006357,GO:0016592
IPR021099	Plant organelle RNA recognition domain  Molecular Function	interpro	domain		PF11955	GO:0003723
IPR021168	Bifunctional polymyxin resistance protein, ArnA  Molecular Function	interpro	family		MF_01166,PIRSF036506	GO:0016742
IPR021281	Small nuclear RNA activating complex subunit 2  Molecular Function	interpro	family		PTHR15132,PF11035	GO:0016251,GO:0009301
IPR021891	Telomerase ribonucleoprotein complex - RNA-binding domain  Molecular Function	interpro	domain		PF12009,SM00975	GO:0003964
IPR021892	RNA helicase NPH-II  Molecular Function	interpro	family		PF12011	GO:0017111
IPR022071	Rotavirus VP1 RNA-directed RNA polymerase, C-terminal  Molecular Function	interpro	domain		PF12289	GO:0003968
IPR022077	ATP-dependent RNA helicase RhlB  Molecular Function	interpro	family		PF12300	GO:0016817
IPR022192	Mitochondrial degradasome RNA helicase subunit, C-terminal domain  Molecular Function	interpro	domain		PF12513	GO:0016817
IPR022238	18S rRNA (guanine(1575)-N(7))-methyltransferase Bud23, C-terminal  Molecular Function	interpro	domain		PF12589	GO:0016435,GO:0070476
IPR022380	Glutamyl-Q tRNA(Asp) synthetase  Molecular Function	interpro	family		TIGR03838,MF_01428	GO:0000166,GO:0004812,GO:0008270,GO:0006400,GO:0006424
IPR022429	Alanine-tRNA ligase, archaea  Molecular Function	interpro	family		TIGR03683,MF_00036_A	GO:0000166,GO:0006419,GO:0005737
IPR022666	Large ribosomal subunit protein uL2, RNA-binding domain  Molecular Function	interpro	domain		PF00181	GO:0003735,GO:0006412,GO:0005840
IPR022724	RNA methyltransferase, SpoU/TrmH type, C-terminal domain  Molecular Function	interpro	domain		PF12105	GO:0141100
IPR022737	RNA polymerase recycling, bacterial, C-terminal  Molecular Function	interpro	domain		PF12137	GO:0016817
IPR022842	DNA-directed RNA polymerase subunit Rpo3/Rpb3/RPAC1  Molecular Function	interpro	family		MF_00320	GO:0003899,GO:0006351
IPR022861	Glutamine-tRNA ligase, bacterial  Molecular Function	interpro	family		MF_00126	GO:0004819
IPR022874	Valine-tRNA ligase, type 2  Molecular Function	interpro	family		MF_02005	GO:0004832
IPR022882	tRNA1(Val) (adenine(37)-N6)-methyltransferase  Molecular Function	interpro	family		MF_01872	GO:0016430
IPR022892	Ribonuclease HI  Molecular Function	interpro	family		cd09278,MF_00042	GO:0004523
IPR022898	Ribonuclease HII  Molecular Function	interpro	family		cd07182,MF_00052_B	GO:0004523
IPR022905	DNA-directed RNA polymerase subunit Rpo11-like  Molecular Function	interpro	family		MF_00261	GO:0003899,GO:0006351
IPR022908	tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase  Molecular Function	interpro	family		MF_00266	GO:0008175,GO:0030488,GO:0031591
IPR022911	Phenylalanine-tRNA ligase alpha chain 1, bacterial  Molecular Function	interpro	family		MF_00281	GO:0004826
IPR022917	Phenylalanine-tRNA ligase alpha subunit, bacterial/archaeal  Molecular Function	interpro	family		MF_00282	GO:0004826
IPR022918	Phenylalanine-tRNA ligase beta chain 2, archaeal type  Molecular Function	interpro	family		MF_00284	GO:0004826,GO:0006432
IPR022923	tRNA (guanine(26)-N(2))-dimethyltransferase, archaeal and bacterial  Molecular Function	interpro	family		MF_00290	GO:0160104
IPR022925	NAD-capped RNA hydrolase NudC  Molecular Function	interpro	family		MF_00297	GO:0000210
IPR022928	RNA 2'-phosphotransferase KptA, putative  Molecular Function	interpro	family		MF_00299	GO:0003950
IPR022960	Glycine-tRNA ligase, archaeal  Molecular Function	interpro	family		MF_00253_A	GO:0004820
IPR022961	Glycine-tRNA ligase, bacterial  Molecular Function	interpro	family		MF_00253_B	GO:0004820
IPR022968	16S/18S rRNA aminocarboxypropyltransferase Tsr3  Molecular Function	interpro	family		MF_01116,PTHR20426	GO:0016740,GO:0106388,GO:0006364
IPR023032	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC  Molecular Function	interpro	family		MF_01102	GO:0004808,GO:0008168,GO:0016645,GO:0008033
IPR023033	Alanine-tRNA ligase, eukaryota/bacteria  Molecular Function	interpro	family		MF_00036_B	GO:0004813
IPR023148	tRNA (guanine-N(1)-)-methyltransferase, C-terminal domain superfamily  Molecular Function	interpro	homologous_superfamily		G3DSA:1.10.1270.20	GO:0052906,GO:0008033
IPR023160	Ribonuclease HII, helix-loop-helix cap domain superfamily  Molecular Function	interpro	homologous_superfamily		G3DSA:1.10.10.460	GO:0004523
IPR023267	RNA (C5-cytosine) methyltransferase  Molecular Function	interpro	family		PR02008,PTHR22808,PTHR22807	GO:0008173,GO:0001510
IPR023270	tRNA (C5-cytosine) methyltransferase, NCL1  Molecular Function	interpro	family		PR02011	GO:0016428
IPR023273	RNA (C5-cytosine) methyltransferase, NOP2  Molecular Function	interpro	family		PR02012	GO:0008168
IPR023382	tRNA-specific 2-thiouridylase MnmA-like, central domain superfamily  Molecular Function	interpro	homologous_superfamily		G3DSA:2.30.30.280	GO:0016783
IPR023457	Methionine-tRNA synthetase, type 2  Molecular Function	interpro	family		PTHR43326,MF_01228	GO:0004825
IPR023458	Methionine-tRNA ligase, type 1  Molecular Function	interpro	family		PTHR45765,MF_00098	GO:0004825
IPR023464	DNA-directed RNA polymerase subunit Rpo12  Molecular Function	interpro	family		MF_00615	GO:0003677,GO:0003899,GO:0006351
IPR023516	tRNA-splicing endonuclease, archaeal long subfamily  Molecular Function	interpro	family		MF_01834	GO:0000213
IPR023529	RNA chaperone ProQ  Molecular Function	interpro	family		PTHR38106,MF_00749	GO:0003723,GO:0033592,GO:0034057,GO:0010608
IPR023539	Ribonuclease P, protein component 3, archaeal  Molecular Function	interpro	family		MF_00756	GO:0004526,GO:0001682
IPR023541	rRNA small subunit methyltransferase B, enterobacteriaceae  Molecular Function	interpro	family		MF_01856	GO:0008649
IPR023542	Ribosomal RNA large subunit methyltransferase I  Molecular Function	interpro	family		MF_01857	GO:0008649
IPR023543	rRNA small subunit methyltransferase C  Molecular Function	interpro	family		MF_01862	GO:0008649
IPR023545	rRNA small subunit methyltransferase F  Molecular Function	interpro	family		MF_01579	GO:0008649
IPR023554	ATP-dependent RNA helicase RhlB type  Molecular Function	interpro	family		MF_00661	GO:0003724
IPR023585	Isoleucine-tRNA ligase, type 1  Molecular Function	interpro	family		MF_02002	GO:0004822
IPR023586	Isoleucine-tRNA ligase, type 2  Molecular Function	interpro	family		PTHR42780,MF_02003	GO:0004822
IPR023617	Tyrosine-tRNA ligase, archaeal/eukaryotic-type  Molecular Function	interpro	family		PIRSF006588	GO:0004831
IPR023678	Tyrosine-tRNA ligase, type 4  Molecular Function	interpro	family		MF_02009	GO:0004831,GO:0005524,GO:0006437,GO:0005737
IPR023684	Tyrosine-tRNA ligase, type 3  Molecular Function	interpro	family		MF_02008	GO:0004831,GO:0005524,GO:0006437,GO:0005737
IPR023716	Proline-tRNA ligase, class IIa, type 2  Molecular Function	interpro	family		MF_01570	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR023717	Prolyl-tRNA synthetase, class IIa, type 1  Molecular Function	interpro	family		PIRSF001535,MF_01569	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR023758	tRNA-modifying protein YgfZ  Molecular Function	interpro	family		MF_01175	GO:0005542,GO:0009451
IPR023877	Pyrrolysyl-tRNA ligase, C-terminal  Molecular Function	interpro	domain		TIGR02367	GO:0004812
IPR023878	Pyrrolysyl-tRNA ligase, N-terminal  Molecular Function	interpro	domain		TIGR03912	GO:0004812
IPR023993	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, archaea  Molecular Function	interpro	family		TIGR03972,MF_01921	GO:0016829,GO:0051539,GO:0008033
IPR024036	tRNA-dihydrouridine synthase, putative, C-terminal  Molecular Function	interpro	homologous_superfamily		G3DSA:1.10.1200.80	GO:0016491
IPR024075	DNA-directed RNA polymerase, helix hairpin domain superfamily  Molecular Function	interpro	homologous_superfamily		G3DSA:1.10.287.260	GO:0003899
IPR024088	Tyrosine-tRNA ligase, bacterial-type  Molecular Function	interpro	family		PTHR11766	GO:0004831
IPR024107	Tyrosine-tRNA ligase, bacterial-type, type 1  Molecular Function	interpro	family		MF_02006	GO:0004831
IPR024108	Tyrosine-tRNA ligase, bacterial-type, type 2  Molecular Function	interpro	family		MF_02007	GO:0004831
IPR024109	Tryptophan-tRNA ligase, bacterial-type  Molecular Function	interpro	family		MF_00140_B	GO:0004830
IPR024261	RNA binding protein She2  Molecular Function	interpro	domain		PF11435	GO:0003723
IPR024567	Ribonuclease HII/HIII domain  Molecular Function	interpro	domain		PS51975,PF01351	GO:0004523
IPR024913	tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS  Molecular Function	interpro	family		MF_01892	GO:0016879,GO:0002101
IPR024914	tRNA(Met) cytidine acetyltransferase TmcA  Molecular Function	interpro	family		MF_01886	GO:0000049,GO:0051392,GO:0002101,GO:0051391
IPR024918	3'-5' ssDNA/RNA exonuclease TatD  Molecular Function	interpro	family		MF_00901	GO:0008408
IPR024956	tRNAHis guanylyltransferase catalytic domain  Molecular Function	interpro	domain		PF04446	GO:0000287,GO:0008193,GO:0006400
IPR025182	RNA polymerase-binding protein RbpA  Molecular Function	interpro	family		MF_01483,PF13397	GO:0001000,GO:0045893
IPR025525	hAT-like transposase, RNase-H fold  Molecular Function	interpro	domain		PF14372	GO:0003677
IPR025709	Leucyl-tRNA synthetase, editing domain  Molecular Function	interpro	domain		PF13603	GO:0002161,GO:0006418
IPR025759	tRNA guanosine-2'-O-methyltransferase, Trm3  Molecular Function	interpro	family		PS51623	GO:0016423,GO:0030488
IPR025763	tRNA (guanine-N-7) methyltransferase catalytic subunit Trm8, eukaryote  Molecular Function	interpro	family		MF_03055	GO:0008176
IPR025792	tRNA (guanine(37)-N(1))-methyltransferase, eukaryotic  Molecular Function	interpro	family		MF_03152	GO:0052906,GO:0030488
IPR025795	tRNA (uracil-5-)-methyltransferase  Molecular Function	interpro	family		PS51622	GO:0030697,GO:0008033
IPR025823	tRNA (uracil-5-)-methyltransferase homolog B, chordates  Molecular Function	interpro	family		PS51621	GO:0030697
IPR026213	DNA-directed RNA polymerase II subunit GRINL1  Molecular Function	interpro	family		PR02085,PF15328	GO:0003711,GO:0006368,GO:0005634
IPR026274	tRNA wybutosine synthesizing protein 2  Molecular Function	interpro	family		PIRSF038972	GO:0008757,GO:0031591
IPR026490	mRNA cap 0/1 methyltransferase  Molecular Function	interpro	domain		cd20761,PS51591	GO:0004482,GO:0004483
IPR026502	Histone RNA stem-loop-binding protein SLBP1/SLBP2  Molecular Function	interpro	family		PTHR17408	GO:0003729
IPR026610	3'-RNA ribose 2'-O-methyltransferase, Hen1  Molecular Function	interpro	family		PTHR21404	GO:0008171,GO:0008173,GO:0001510
IPR026699	Exosome complex RNA-binding protein 1/RRP40/RRP4  Molecular Function	interpro	family		PTHR21321	GO:0003723,GO:0000178
IPR026770	Ribonuclease kappa  Molecular Function	interpro	family		PTHR31733	GO:0004521,GO:0090304
IPR027249	DNA-directed DNA/RNA polymerase mu  Molecular Function	interpro	family		PIRSF501176	GO:0003887,GO:0006281,GO:0005634
IPR027351	(+) RNA virus helicase core domain  Molecular Function	interpro	domain		PS51657,PF01443	GO:0005524
IPR027499	Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial  Molecular Function	interpro	family		MF_03151	GO:0050567,GO:0070681,GO:0005739,GO:0030956
IPR027513	RNA-splicing ligase RtcB homologue, eukaryotic  Molecular Function	interpro	family		MF_03144	GO:0170057,GO:0006388,GO:0072669
IPR027521	U6 snRNA phosphodiesterase 1  Molecular Function	interpro	family		PF09749,MF_03040,PTHR13522	GO:0004518,GO:0034477
IPR028271	RNA guanine-N7 methyltransferase activating subunit  Molecular Function	interpro	family		PTHR48168,PF15320	GO:0003723,GO:0106005,GO:0031533
IPR028363	DNA-directed RNA polymerase, subunit RPB6  Molecular Function	interpro	family		PIRSF500154	GO:0003899,GO:0006351,GO:0005634,GO:0005665
IPR028589	AdoMet-dependent rRNA methyltransferase SPB1-like  Molecular Function	interpro	family		MF_03163	GO:0008649,GO:0031167
IPR028590	tRNA (cytidine(32)/guanosine(34)-2-O)-methyltransferase TRM7  Molecular Function	interpro	family		MF_03162	GO:0008175,GO:0008033
IPR028617	RNA polymerase sigma factor FliA  Molecular Function	interpro	family		MF_00962	GO:0003677,GO:0003899,GO:0016987,GO:0006352,GO:0006355
IPR028618	ATP-dependent RNA helicase DeaD  Molecular Function	interpro	family		MF_00964	GO:0003724,GO:0000027,GO:0070417
IPR028619	ATP-dependent RNA helicase DbpA  Molecular Function	interpro	family		MF_00965	GO:0003724,GO:0000027
IPR028621	ATP-dependent RNA helicase SrmB  Molecular Function	interpro	family		MF_00967	GO:0003724,GO:0000027
IPR028622	ATP-dependent RNA helicase RhlE  Molecular Function	interpro	family		MF_00968	GO:0003724,GO:0042255
IPR028630	RNA polymerase sigma factor RpoD  Molecular Function	interpro	family		MF_00963	GO:0016987,GO:0006352
IPR028878	Ribonuclease E  Molecular Function	interpro	family		MF_00970	GO:0008995,GO:0006396
IPR028883	tRNA-specific adenosine deaminase  Molecular Function	interpro	family		MF_00972,PF14437	GO:0008251,GO:0002100
IPR029344	Histone RNA hairpin-binding protein, RNA-binding domain  Molecular Function	interpro	domain		PF15247	GO:0003723
IPR030666	tRNA isopentenyltransferase, eukaryotes  Molecular Function	interpro	family		PIRSF039110	GO:0005524,GO:0052381,GO:0008033
IPR030854	Ribonuclease J, bacteria  Molecular Function	interpro	family		PIRSF004803,MF_01491	GO:0004521,GO:0004534,GO:0008270,GO:0006396
IPR030867	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase  Molecular Function	interpro	family		MF_01922	GO:0016765,GO:0006400
IPR030879	Ribonuclease J, archaea  Molecular Function	interpro	family		MF_01492	GO:0003723,GO:0004534
IPR030880	DEAD-box ATP-dependent RNA helicase CshA  Molecular Function	interpro	family		MF_01493	GO:0003724,GO:0005524,GO:0010501
IPR030881	DEAD-box ATP-dependent RNA helicase CshB  Molecular Function	interpro	family		MF_01494	GO:0004386,GO:0009409
IPR032005	Tyrosyl-tRNA synthetase, C-terminal  Molecular Function	interpro	domain		PF16714	GO:0003723
IPR032860	RNA demethylase ALKBH5  Molecular Function	interpro	family		PTHR32074	GO:0035515,GO:0006397
IPR032886	tRNA-dihydrouridine(16) synthase  Molecular Function	interpro	family		MF_02043	GO:0017150,GO:0002943
IPR032887	tRNA-dihydrouridine synthase B  Molecular Function	interpro	family		MF_02042	GO:0017150,GO:0002943
IPR033110	ROD1, RNA recognition motif 4  Molecular Function	interpro	domain		cd12703	GO:0003723,GO:0045595
IPR033599	RNA polymerase I transcription initiation factor TAF1B/Rrn7  Molecular Function	interpro	family		PTHR31576	GO:0001164,GO:0001188,GO:0006360,GO:0070860
IPR033664	tRNA 5-carboxymethoxyuridine methyltransferase  Molecular Function	interpro	family		MF_02057	GO:0008168
IPR033671	tRNA (guanosine(18)-2'-O)-methyltransferase  Molecular Function	interpro	family		cd18092,MF_02060,PTHR43453	GO:0008168,GO:0030488
IPR033688	RNA cytidine acetyltransferase NAT10  Molecular Function	interpro	family		MF_03211	GO:0005524,GO:0008080,GO:0016072,GO:1904812
IPR033708	Isoleucyl tRNA synthetase type 1, anticodon-binding domain  Molecular Function	interpro	domain		cd07960	GO:0000049
IPR033709	Isoleucyl tRNA synthetase type 2, anticodon-binding domain  Molecular Function	interpro	domain		cd07961	GO:0000049
